Age,Gender,City,Locality,Languages,college,Profession,Have you gone Trekking,Preferred Days,Number of Treks,Difficulty of Trek,trekker_id,BMI,cluster
23,1,4,19,[0],5,1,1,[0],4,0,0,21.453573713726524,3
22,1,4,17,[0],5,0,1,[0],3,2,1,35.707200952192025,3
38,0,4,2,[0],3,0,1,[0],3,0,2,25.476660092044707,3
38,0,1,5,[0],0,0,0,[0],0,2,3,30.11940191473341,3
22,1,4,19,[0],1,0,0,[0],0,2,4,24.34960912469563,3
23,1,4,19,[0],1,0,1,[0],2,1,5,18.870663376397157,3
18,0,0,7,[0],3,0,1,[0],3,2,6,26.709401709401707,3
34,1,4,23,[0],4,2,0,[0],0,1,7,39.624730493560975,3
21,0,4,2,[0],3,0,1,[0],1,1,8,21.224489795918366,3
23,1,3,0,[0],0,1,1,[0],0,0,9,40.58878184752311,3
12,1,1,5,[0],3,0,1,[0],2,1,10,25.63691716071142,3
25,0,3,21,[0],4,0,1,[0],2,0,11,27.43484224965706,3
43,0,1,3,[0],5,2,0,[0],0,0,12,25.910684346898332,3
34,1,4,2,[0],3,2,1,[0],2,0,13,36.21227887617065,3
24,0,4,23,[0],0,0,0,[0],0,0,14,29.705644072373747,3
22,1,4,23,[0],4,0,1,[0],2,2,15,24.034609838166958,3
24,1,0,7,[0],1,2,0,[0],0,0,16,34.5679012345679,3
20,1,4,17,[0],2,0,1,[0],3,1,17,33.98437499999999,3
29,0,1,9,[0],1,0,0,[0],0,1,18,28.084332107116012,3
49,0,1,1,[0],0,0,0,[0],0,1,19,24.999999999999996,3
11,1,1,5,[0],3,0,1,[0],1,0,20,25.86451247165533,3
17,1,4,23,[0],1,0,1,[0],2,0,21,25.826446280991732,3
16,1,3,18,[0],0,0,0,[0],0,0,22,27.11111111111111,3
22,0,4,17,[0],5,0,0,[0],0,2,23,35.58398270348182,3
20,1,1,3,[0],0,0,1,[0],3,1,24,22.432302515622492,3
51,1,1,9,[0],3,0,1,[0],3,1,25,25.315454293738377,3
26,1,1,1,[0],0,0,1,[0],4,0,26,33.62208773387128,3
19,0,0,7,[0],3,0,0,[0],0,2,27,21.719250114311837,3
22,1,1,3,[0],4,0,0,[0],0,1,28,29.475842624631554,3
31,1,4,2,[0],4,0,0,[0],0,0,29,31.611773249604852,3
41,1,4,2,[0],3,0,1,[0],1,0,30,20.569329660238754,3
26,1,1,9,[0],5,2,0,[0],0,1,31,23.533042706685695,3
38,0,4,16,[0],4,1,1,[0],4,2,32,27.268005540166204,3
22,0,1,1,[0],2,0,1,[0],2,2,33,24.44727891156463,3
41,1,4,19,[0],2,0,0,[0],0,1,34,31.22945430637738,3
36,1,4,2,[0],4,1,1,[0],3,1,35,33.31945022907122,3
27,0,4,17,[0],5,0,1,[0],3,0,36,25.076193048107708,3
28,1,4,2,[0],2,0,1,[0],2,2,37,19.835162956123252,3
51,1,4,17,[0],0,0,0,[0],0,1,38,33.732501264968796,3
25,0,0,7,[0],2,0,1,[0],3,1,39,24.747454257779218,3
25,0,4,17,[0],0,0,1,[0],2,0,40,23.73323840037973,3
29,1,1,13,[0],3,0,1,[0],2,1,41,25.461980633463213,3
34,1,4,19,[0],0,0,1,[0],2,1,42,25.816630212628635,3
21,0,4,23,[0],2,0,1,[0],2,2,43,22.308149910767405,3
21,1,2,4,[0],3,0,0,[0],0,1,44,32.44444444444444,3
37,1,4,19,[0],5,0,0,[0],0,0,45,21.877551020408163,3
11,0,4,17,[0],3,0,0,[0],0,0,46,32.52595155709343,3
34,0,4,2,[0],4,0,1,[0],3,2,47,28.804413972169254,3
27,1,2,12,[0],5,0,1,[0],3,1,48,26.23355580417422,3
37,1,3,21,[0],1,1,0,[0],0,0,49,30.80124869927159,3
29,1,4,23,[0],5,0,1,[0],3,1,50,33.71488033298647,3
19,1,4,19,[0],1,0,1,[0],1,2,51,36.160420775805385,3
39,1,4,23,[0],4,0,0,[0],0,1,52,20.45288531775018,3
34,0,2,20,[0],2,1,1,[0],4,2,53,32.86137368655929,3
37,0,1,3,[0],1,1,1,[0],2,0,54,20.147971991015986,3
34,1,4,16,[0],2,0,0,[0],0,2,55,28.999307479224377,3
15,0,1,1,[0],3,0,1,[0],0,2,56,27.915518824609737,3
16,1,4,16,[0],1,2,1,[0],4,1,57,30.818540433925047,3
42,1,2,15,[0],3,0,0,[0],0,2,58,17.404374826945133,3
36,1,4,17,[0],3,0,0,[0],0,0,59,42.103416516819436,3
33,1,0,10,[0],1,2,1,[0],3,1,60,20.07960127648894,3
28,1,4,2,[0],2,0,1,[0],3,0,61,35.55555555555556,3
22,0,4,23,[0],3,0,1,[0],4,0,62,32.462195923734384,3
30,1,2,15,[0],4,0,0,[0],0,0,63,25.076193048107708,3
30,1,3,18,[0],4,0,1,[0],3,2,64,18.413907181423802,3
25,0,3,0,[0],3,0,1,[0],2,2,65,27.94214332675871,3
33,1,4,16,[0],0,0,0,[0],0,1,66,29.357521924046825,3
31,1,1,9,[0],5,0,1,[0],1,1,67,25.781249999999996,3
28,0,4,23,[0],2,0,1,[0],2,2,68,24.76756591982929,3
24,1,1,1,[0],4,0,1,[0],3,0,69,27.555555555555557,3
40,1,1,5,[0],3,2,1,[0],2,0,70,28.515624999999993,3
28,1,2,12,[0],0,2,0,[0],0,0,71,34.24657534246576,3
41,1,1,5,[0],1,0,1,[0],3,2,72,22.571047501795427,3
37,1,4,23,[0],1,0,1,[0],2,1,73,30.33021487462087,3
30,1,4,17,[0],4,0,1,[0],2,0,74,21.50188648626719,3
54,0,4,17,[0],5,1,1,[0],3,1,75,21.719250114311837,3
15,0,1,1,[0],3,2,0,[0],0,0,76,25.351541373715524,3
27,0,4,16,[0],4,0,1,[0],2,0,77,27.700831024930746,3
24,1,2,20,[0],4,0,0,[0],0,1,78,27.776910832995224,3
26,1,0,14,[0],5,1,1,[0],1,1,79,28.393726338561386,3
24,1,1,1,[0],2,1,1,[0],2,0,80,20.244897959183675,3
40,1,0,24,[0],0,2,0,[0],0,0,81,34.484157572315304,3
30,0,0,7,[0],0,0,1,[0],3,1,82,25.390218522372525,3
27,0,4,2,[0],1,1,1,[0],0,0,83,24.341758286340216,3
21,1,3,21,[0],2,0,0,[0],0,0,84,34.677294135914295,3
39,1,4,2,[0],3,1,1,[0],1,2,85,35.196195005945306,3
33,1,4,23,[0],3,0,1,[0],3,1,86,28.303850156087407,3
35,1,4,16,[0],0,2,1,[0],3,0,87,28.124999999999993,3
24,1,4,19,[0],0,0,1,[0],5,0,88,24.218749999999996,3
36,1,4,19,[0],0,0,1,[0],3,2,89,25.14860539551897,3
30,1,1,5,[0],2,0,1,[0],3,2,90,20.86111966075032,3
29,0,1,9,[0],0,1,1,[0],2,2,91,26.813590449954088,3
24,1,0,7,[0],5,0,0,[0],0,0,92,28.0,3
30,0,4,16,[0],1,0,1,[0],3,1,93,29.666548000474663,3
16,1,1,1,[0],5,1,1,[0],1,1,94,23.66691015339664,3
23,0,4,17,[0],1,0,1,[0],2,2,95,24.538964901844146,3
30,1,4,23,[0],5,0,1,[0],3,0,96,28.068944344546292,3
38,0,1,5,[0],4,0,1,[0],3,0,97,27.968016063681024,3
34,1,4,2,[0],5,0,1,[0],3,1,98,23.510204081632654,3
53,1,0,7,[0],4,0,1,[0],2,2,99,25.72103221453871,3
32,1,2,20,[0],4,2,1,[0],0,0,100,30.22222222222222,3
15,0,4,2,[0],2,0,1,[0],3,2,101,35.111111111111114,3
23,0,4,17,[0],5,0,1,[0],2,0,102,24.88888888888889,3
40,1,3,21,[0],3,0,1,[0],2,0,103,24.242424242424246,3
37,0,4,17,[0],3,1,1,[0],3,1,104,31.16343490304709,3
20,0,4,19,[0],3,0,0,[0],0,2,105,28.282828282828287,3
32,0,4,23,[0],1,0,1,[0],0,1,106,23.738662131519277,3
23,1,4,2,[0],1,0,0,[0],0,1,107,30.536721701775274,3
28,0,0,10,[0],1,0,0,[0],0,2,108,33.91251333638164,3
35,0,1,13,[0],3,0,0,[0],0,2,109,24.998903556861542,3
46,1,0,24,[0],2,0,1,[0],3,2,110,26.854405574103644,3
16,1,1,3,[0],5,0,0,[0],0,1,111,23.83300460223537,3
16,1,4,23,[0],3,0,1,[0],3,0,112,21.952479338842977,3
34,1,3,21,[0],2,0,1,[0],2,2,113,30.297783933518005,3
43,0,4,19,[0],0,2,0,[0],0,0,114,34.244946492271104,3
40,1,4,17,[0],4,2,0,[0],0,0,115,21.77777777777778,3
26,1,4,16,[0],1,0,1,[0],2,1,116,20.41522491349481,3
11,0,4,16,[0],3,0,1,[0],1,0,117,23.533042706685695,3
25,1,1,1,[0],1,0,1,[0],3,2,118,29.666548000474663,3
21,0,4,17,[0],5,2,1,[0],2,1,119,26.25958474843318,3
36,1,4,23,[0],0,0,1,[0],2,1,120,22.34351559258195,3
34,1,1,5,[0],3,0,0,[0],0,1,121,25.390624999999996,3
46,1,4,17,[0],1,0,1,[0],2,2,122,26.709401709401707,3
21,1,4,2,[0],1,0,1,[0],3,1,123,27.475629493018182,3
49,0,4,2,[0],0,0,0,[0],0,2,124,29.864958448753463,3
38,1,4,17,[0],5,0,0,[0],0,1,125,21.872422819032593,3
29,1,1,5,[0],0,0,0,[0],0,1,126,18.986590720303784,3
21,0,1,3,[0],3,0,0,[0],0,2,127,29.744199881023206,3
30,1,0,6,[0],3,0,1,[0],2,1,128,20.37037037037037,3
38,1,4,17,[0],5,1,1,[0],1,0,129,28.01022373166206,3
28,1,4,19,[0],0,0,0,[0],0,1,130,27.01685988851271,3
18,1,4,19,[0],3,0,1,[0],1,2,131,37.574316290130795,3
19,0,4,23,[0],5,0,1,[0],3,2,132,18.413907181423802,3
51,0,1,9,[0],1,0,1,[0],1,2,133,26.491508201480624,3
41,1,1,5,[0],2,0,1,[0],3,2,134,38.525564803805,3
17,0,1,5,[0],2,0,1,[0],1,2,135,25.689561925365066,3
26,0,4,23,[0],4,0,1,[0],3,2,136,32.769394909312595,3
30,1,4,2,[0],2,2,0,[0],0,2,137,31.20256367009614,3
33,1,2,4,[0],2,0,0,[0],0,0,138,34.666666666666664,3
33,1,4,17,[0],4,0,1,[0],2,0,139,20.747550193111813,3
19,0,1,1,[0],4,0,0,[0],0,1,140,27.343749999999996,3
37,1,4,16,[0],3,0,1,[0],2,1,141,33.70504499982072,3
48,1,3,22,[0],3,0,0,[0],0,2,142,20.06920415224914,3
26,1,4,17,[0],2,1,1,[0],2,1,143,33.77044866453226,3
18,0,0,7,[0],1,0,1,[0],2,0,144,33.29864724245577,3
39,1,4,16,[0],3,0,1,[0],3,0,145,21.258503401360546,3
25,1,4,19,[0],4,0,0,[0],0,0,146,28.668892437218755,3
29,0,4,23,[0],0,1,1,[0],2,2,147,45.40816326530613,3
31,0,1,1,[0],0,0,1,[0],3,0,148,25.15589569160998,3
19,0,4,17,[0],4,0,1,[0],2,0,149,29.21010994360826,3
21,1,3,18,[0],3,0,1,[0],2,2,150,38.81786657005332,3
30,0,4,17,[0],0,0,0,[0],0,1,151,22.647376960519203,3
36,1,3,21,[0],2,1,1,[0],2,2,152,29.40778799351001,3
21,1,1,5,[0],5,0,1,[0],2,0,153,25.153150229218223,3
38,1,1,13,[0],3,0,0,[0],0,1,154,30.468749999999993,3
30,0,1,1,[0],5,0,1,[0],4,1,155,31.50109569028488,3
36,1,1,9,[0],5,1,0,[0],0,0,156,21.20310522895934,3
14,0,1,3,[0],4,0,1,[0],3,2,157,32.4354258138523,3
14,1,0,14,[0],1,0,1,[0],2,0,158,28.326580372189753,3
39,1,1,3,[0],1,0,0,[0],0,0,159,26.40235457063712,3
32,1,2,20,[0],2,1,1,[0],1,2,160,23.738662131519277,3
23,0,4,17,[0],1,0,1,[0],3,1,161,25.64891761567662,3
41,0,3,18,[0],3,0,1,[0],4,1,162,23.147255121330193,3
